丁,秨絃基,程蔼基,程基,Μ絃基,Θユ秖
1990/1/2,1.3304,1.3393,1.25,1.3304,45.80M
1990/1/3,1.3393,1.3571,1.3393,1.3393,52.00M
1990/1/4,1.3437,1.3839,1.3304,1.3437,55.38M
1990/1/5,1.3482,1.3661,1.3214,1.3482,30.83M
1990/1/8,1.3571,1.3571,1.3214,1.3571,25.39M
1990/1/9,1.3437,1.3571,1.3214,1.3437,21.53M
1990/1/10,1.2857,1.3437,1.2768,1.2857,49.93M
1990/1/11,1.2321,1.2946,1.2321,1.2321,52.76M
1990/1/12,1.2321,1.2411,1.2054,1.2321,42.97M
1990/1/15,1.2232,1.2768,1.2232,1.2232,40.43M
1990/1/16,1.2455,1.25,1.1696,1.2455,53.56M
1990/1/17,1.1875,1.2411,1.1786,1.1875,49.32M
1990/1/18,1.1562,1.1964,1.1518,1.1562,68.32M
1990/1/19,1.2232,1.2321,1.1964,1.2232,66.28M
1990/1/22,1.1875,1.2321,1.1875,1.1875,36.40M
1990/1/23,1.2054,1.2232,1.1786,1.2054,35.22M
1990/1/24,1.2143,1.2232,1.1518,1.2143,42.45M
1990/1/25,1.2187,1.2411,1.2143,1.2187,27.89M
1990/1/26,1.1696,1.2143,1.1518,1.1696,45.31M
1990/1/29,1.1875,1.1964,1.1473,1.1875,29.98M
1990/1/30,1.2143,1.2321,1.1786,1.2143,29.11M
1990/1/31,1.2143,1.2411,1.1786,1.2143,35.99M
1990/2/1,1.2009,1.2366,1.1964,1.2009,29.27M
1990/2/2,1.2232,1.2411,1.1875,1.2232,29.62M
1990/2/5,1.25,1.2589,1.2143,1.25,25.44M
1990/2/6,1.2411,1.25,1.2143,1.2411,18.52M
1990/2/7,1.1875,1.2143,1.1607,1.1875,78.11M
1990/2/8,1.1786,1.1964,1.1518,1.1786,46.66M
1990/2/9,1.2232,1.2321,1.1875,1.2232,42.02M
1990/2/12,1.2143,1.2321,1.2054,1.2143,18.73M
1990/2/13,1.2321,1.25,1.2054,1.2321,25.54M
1990/2/14,1.2232,1.2411,1.2054,1.2232,24.02M
1990/2/15,1.2232,1.2232,1.1964,1.2232,24.49M
1990/2/16,1.2054,1.2321,1.2054,1.2054,31.80M
1990/2/20,1.1964,1.2054,1.1786,1.1964,30.81M
1990/2/21,1.2143,1.2232,1.1607,1.2143,43.98M
1990/2/22,1.1786,1.2321,1.1786,1.1786,48.80M
1990/2/23,1.1875,1.1964,1.1696,1.1875,37.49M
1990/2/26,1.2143,1.2232,1.1786,1.2143,19.90M
1990/2/27,1.1964,1.2232,1.1964,1.1964,18.49M
1990/2/28,1.2143,1.2143,1.1875,1.2143,27.33M
1990/3/1,1.2232,1.2411,1.1875,1.2232,50.97M
1990/3/2,1.2054,1.2411,1.1875,1.2054,26.22M
1990/3/5,1.2321,1.2411,1.1964,1.2321,45.62M
1990/3/6,1.2589,1.2589,1.2321,1.2589,39.00M
1990/3/7,1.2634,1.2857,1.25,1.2634,51.06M
1990/3/8,1.3125,1.3214,1.25,1.3125,55.96M
1990/3/9,1.317,1.3393,1.2946,1.317,57.62M
1990/3/12,1.308,1.3393,1.2946,1.308,40.99M
1990/3/13,1.317,1.3304,1.2946,1.317,37.14M
1990/3/14,1.3125,1.3304,1.3036,1.3125,23.78M
1990/3/15,1.3125,1.3571,1.3036,1.3125,30.06M
1990/3/16,1.4375,1.4554,1.3973,1.4375,161M
1990/3/19,1.5134,1.5179,1.4286,1.5134,108M
1990/3/20,1.4777,1.5357,1.4554,1.4777,97.83M
1990/3/21,1.4866,1.5089,1.4732,1.4866,38.18M
1990/3/22,1.4554,1.5089,1.4554,1.4554,57.92M
1990/3/23,1.5089,1.5357,1.4643,1.5089,57.00M
1990/3/26,1.5089,1.5491,1.5,1.5089,32.02M
1990/3/27,1.5,1.5089,1.4732,1.5,21.15M
1990/3/28,1.4732,1.5045,1.4643,1.4732,25.73M
1990/3/29,1.4687,1.4821,1.4554,1.4687,24.22M
1990/3/30,1.4375,1.4643,1.4286,1.4375,55.84M
1990/4/2,1.4375,1.4509,1.4107,1.4375,37.19M
1990/4/3,1.4911,1.4911,1.4464,1.4911,34.93M
1990/4/4,1.4732,1.5,1.4554,1.4732,37.43M
1990/4/5,1.4375,1.4732,1.4286,1.4375,27.05M
1990/4/6,1.4241,1.4732,1.4196,1.4241,29.56M
1990/4/9,1.4687,1.4821,1.4107,1.4687,26.37M
1990/4/10,1.4732,1.5,1.4643,1.4732,32.83M
1990/4/11,1.5179,1.5357,1.4821,1.5179,53.29M
1990/4/12,1.5446,1.5714,1.5179,1.5446,52.95M
1990/4/16,1.5625,1.5804,1.5446,1.5625,56.72M
1990/4/17,1.5446,1.5536,1.5268,1.5446,32.78M
1990/4/18,1.5446,1.5625,1.5179,1.5446,48.50M
1990/4/19,1.4375,1.5402,1.4286,1.4375,120M
1990/4/20,1.4375,1.4821,1.4196,1.4375,80.88M
1990/4/23,1.4196,1.4464,1.4107,1.4196,32.09M
1990/4/24,1.3839,1.4464,1.375,1.3839,75.89M
1990/4/25,1.3839,1.3929,1.3661,1.3839,33.14M
1990/4/26,1.3884,1.4107,1.3616,1.3884,35.54M
1990/4/27,1.3973,1.4107,1.3839,1.3973,29.10M
1990/4/30,1.4062,1.4196,1.3929,1.4062,34.10M
1990/5/1,1.4152,1.4286,1.4062,1.4152,40.90M
1990/5/2,1.4196,1.4286,1.4018,1.4196,33.86M
1990/5/3,1.4286,1.4375,1.4196,1.4286,41.58M
1990/5/4,1.4286,1.4554,1.4018,1.4286,42.38M
1990/5/7,1.4821,1.4911,1.4196,1.4821,34.00M
1990/5/8,1.4911,1.5,1.4643,1.4911,28.11M
1990/5/9,1.4955,1.5,1.4732,1.4955,24.31M
1990/5/10,1.4777,1.4911,1.4464,1.4777,44.76M
1990/5/11,1.5223,1.5268,1.4554,1.5223,53.81M
1990/5/14,1.4911,1.5268,1.4732,1.4911,56.60M
1990/5/15,1.4911,1.5,1.4643,1.4911,37.35M
1990/5/16,1.4821,1.4911,1.4643,1.4821,21.83M
1990/5/17,1.4821,1.5089,1.4643,1.4821,38.40M
1990/5/18,1.4196,1.4821,1.4107,1.4196,64.62M
1990/5/21,1.4107,1.4286,1.3839,1.4107,65.62M
1990/5/22,1.4777,1.4821,1.4286,1.4777,75.27M
1990/5/23,1.5,1.5179,1.4732,1.5,51.88M
1990/5/24,1.5,1.5089,1.4821,1.5,37.03M
1990/5/25,1.4286,1.4554,1.3929,1.4286,80.83M
1990/5/29,1.4643,1.4732,1.4018,1.4643,60.80M
1990/5/30,1.4777,1.4911,1.4732,1.4777,69.20M
1990/5/31,1.4732,1.4821,1.4643,1.4732,25.77M
1990/6/1,1.4554,1.5,1.4554,1.4554,39.33M
1990/6/4,1.4554,1.4643,1.4196,1.4554,44.86M
1990/6/5,1.4107,1.4643,1.3929,1.4107,74.86M
1990/6/6,1.4107,1.4107,1.3839,1.4107,52.94M
1990/6/7,1.3929,1.4196,1.375,1.3929,46.61M
1990/6/8,1.3661,1.375,1.3393,1.3661,83.47M
1990/6/11,1.3929,1.3929,1.3482,1.3929,39.47M
1990/6/12,1.4464,1.4464,1.3839,1.4464,41.26M
1990/6/13,1.4196,1.4554,1.4196,1.4196,34.74M
1990/6/14,1.4196,1.4375,1.4018,1.4196,35.08M
1990/6/15,1.4107,1.4286,1.3973,1.4107,36.04M
1990/6/18,1.4018,1.4107,1.3929,1.4018,27.85M
1990/6/19,1.4152,1.4196,1.3705,1.4152,39.31M
1990/6/20,1.4286,1.4375,1.4196,1.4286,38.68M
1990/6/21,1.4955,1.5,1.4286,1.4955,52.15M
1990/6/22,1.4821,1.5223,1.4732,1.4821,70.99M
1990/6/25,1.4732,1.4911,1.4375,1.4732,30.50M
1990/6/26,1.4509,1.5,1.4464,1.4509,31.81M
1990/6/27,1.4821,1.5,1.4375,1.4821,24.31M
1990/6/28,1.5357,1.5446,1.4911,1.5357,62.48M
1990/6/29,1.5982,1.6027,1.5268,1.5982,81.30M
1990/7/2,1.5714,1.5893,1.5625,1.5714,33.85M
1990/7/3,1.5714,1.5893,1.5625,1.5714,24.88M
1990/7/5,1.5536,1.5804,1.5446,1.5536,26.87M
1990/7/6,1.5982,1.6071,1.5446,1.5982,52.26M
1990/7/9,1.6652,1.6786,1.5982,1.6652,78.86M
1990/7/10,1.6786,1.6964,1.6696,1.6786,90.36M
1990/7/11,1.6786,1.6786,1.6339,1.6786,61.54M
1990/7/12,1.692,1.6964,1.6607,1.692,45.62M
1990/7/13,1.6696,1.7054,1.6696,1.6696,57.74M
1990/7/16,1.6295,1.7054,1.6161,1.6295,44.93M
1990/7/17,1.5804,1.6429,1.5714,1.5804,34.21M
1990/7/18,1.5937,1.6071,1.5357,1.5937,69.57M
1990/7/19,1.4911,1.5179,1.4286,1.4911,146M
1990/7/20,1.4643,1.5179,1.4554,1.4643,47.96M
1990/7/23,1.4821,1.4911,1.4286,1.4821,67.55M
1990/7/24,1.5045,1.5089,1.4643,1.5045,48.48M
1990/7/25,1.5089,1.5446,1.4911,1.5089,26.23M
1990/7/26,1.4777,1.5179,1.4643,1.4777,20.08M
1990/7/27,1.4777,1.4911,1.4464,1.4777,15.58M
1990/7/30,1.5134,1.5179,1.4554,1.5134,21.36M
1990/7/31,1.5,1.5268,1.4821,1.5,24.00M
1990/8/1,1.5134,1.5268,1.4821,1.5134,23.38M
1990/8/2,1.5536,1.5625,1.4732,1.5536,55.78M
1990/8/3,1.4732,1.5625,1.4196,1.4732,67.24M
1990/8/6,1.4107,1.4464,1.375,1.4107,44.91M
1990/8/7,1.4107,1.4509,1.3839,1.4107,49.63M
1990/8/8,1.433,1.4554,1.4107,1.433,25.63M
1990/8/9,1.4107,1.4464,1.4018,1.4107,24.10M
1990/8/10,1.3839,1.4018,1.3661,1.3839,25.68M
1990/8/13,1.4241,1.4286,1.3527,1.4241,39.03M
1990/8/14,1.4196,1.4286,1.4018,1.4196,24.54M
1990/8/15,1.4018,1.4375,1.4018,1.4018,23.01M
1990/8/16,1.375,1.4152,1.375,1.375,30.97M
1990/8/17,1.3036,1.375,1.2768,1.3036,61.53M
1990/8/20,1.3125,1.3393,1.2946,1.3125,18.77M
1990/8/21,1.2946,1.3125,1.2589,1.2946,40.26M
1990/8/22,1.2545,1.3214,1.25,1.2545,30.68M
1990/8/23,1.2321,1.25,1.1964,1.2321,35.92M
1990/8/24,1.2768,1.2768,1.2411,1.2768,19.05M
1990/8/27,1.3482,1.3571,1.2946,1.3482,29.37M
1990/8/28,1.3616,1.3705,1.3304,1.3616,20.05M
1990/8/29,1.3304,1.3616,1.3125,1.3304,37.73M
1990/8/30,1.2946,1.3393,1.2857,1.2946,30.65M
1990/8/31,1.3214,1.3304,1.2857,1.3214,24.86M
1990/9/4,1.3214,1.3393,1.3036,1.3214,20.69M
1990/9/5,1.2857,1.3304,1.2768,1.2857,16.01M
1990/9/6,1.2768,1.2857,1.2589,1.2768,21.91M
1990/9/7,1.2991,1.3125,1.2545,1.2991,14.54M
1990/9/10,1.2768,1.3214,1.2768,1.2768,19.00M
1990/9/11,1.2143,1.2902,1.2054,1.2143,44.57M
1990/9/12,1.2143,1.2321,1.1964,1.2143,25.10M
1990/9/13,1.2054,1.2411,1.1786,1.2054,24.32M
1990/9/14,1.2143,1.2232,1.1875,1.2143,28.48M
1990/9/17,1.2054,1.2589,1.1964,1.2054,19.42M
1990/9/18,1.192,1.2054,1.1786,1.192,31.15M
1990/9/19,1.1607,1.2054,1.1429,1.1607,45.61M
1990/9/20,1.1295,1.1518,1.1161,1.1295,25.23M
1990/9/21,1.125,1.1607,1.1071,1.125,38.47M
1990/9/24,1.0804,1.125,1.0625,1.0804,34.62M
1990/9/25,1.0714,1.0982,1.0446,1.0714,39.49M
1990/9/26,1.0625,1.0893,1.0625,1.0625,23.53M
1990/9/27,1.0089,1.0893,1,1.0089,35.59M
1990/9/28,1.0357,1.0357,0.9732,1.0357,44.01M
1990/10/1,1.0893,1.1071,1.0446,1.0893,38.93M
1990/10/2,1.058,1.1429,1.0536,1.058,67.75M
1990/10/3,0.9643,1.0625,0.9554,0.9643,67.06M
1990/10/4,1,1,0.9375,1,53.37M
1990/10/5,1,1.0268,0.9643,1,24.87M
1990/10/8,1.0402,1.0446,1.0089,1.0402,15.38M
1990/10/9,1,1.0357,0.9911,1,30.14M
1990/10/10,0.9464,1,0.9286,0.9464,36.98M
1990/10/11,0.9911,0.9955,0.9107,0.9911,51.49M
1990/10/12,1.0089,1.0179,0.9643,1.0089,57.16M
1990/10/15,0.9911,1.0268,0.9509,0.9911,50.25M
1990/10/16,0.8929,0.9821,0.8661,0.8929,76.31M
1990/10/17,0.9464,0.9464,0.8929,0.9464,77.27M
1990/10/18,1.0179,1.0268,0.9464,1.0179,78.72M
1990/10/19,1.1205,1.1339,1.0804,1.1205,233M
1990/10/22,1.1116,1.125,1.0893,1.1116,63.18M
1990/10/23,1.1071,1.125,1.0804,1.1071,41.76M
1990/10/24,1.0893,1.1071,1.0714,1.0893,35.46M
1990/10/25,1.0714,1.1161,1.058,1.0714,38.37M
1990/10/26,1.0714,1.1161,1.0625,1.0714,33.55M
1990/10/29,1.067,1.0893,1.0625,1.067,30.87M
1990/10/30,1.0848,1.0982,1.0312,1.0848,24.51M
1990/10/31,1.0982,1.1384,1.0804,1.0982,37.19M
1990/11/1,1.0893,1.1071,1.0625,1.0893,22.66M
1990/11/2,1.1339,1.1562,1.0893,1.1339,37.15M
1990/11/5,1.1875,1.1964,1.1429,1.1875,46.12M
1990/11/6,1.1964,1.2321,1.1875,1.1964,46.19M
1990/11/7,1.1875,1.2054,1.1652,1.1875,50.74M
1990/11/8,1.2321,1.25,1.1786,1.2321,49.81M
1990/11/9,1.2679,1.2768,1.2321,1.2679,49.56M
1990/11/12,1.2946,1.3125,1.2589,1.2946,36.26M
1990/11/13,1.2857,1.3036,1.2768,1.2857,35.49M
1990/11/14,1.3214,1.3304,1.2768,1.3214,47.69M
1990/11/15,1.2857,1.3214,1.2679,1.2857,40.44M
1990/11/16,1.2545,1.2857,1.2411,1.2545,45.75M
1990/11/19,1.2991,1.2991,1.2589,1.2991,55.98M
1990/11/20,1.2679,1.3125,1.2589,1.2679,38.41M
1990/11/21,1.2902,1.2946,1.2411,1.2902,30.80M
1990/11/23,1.2991,1.3214,1.2857,1.2991,13.30M
1990/11/26,1.3125,1.3214,1.2857,1.3125,20.36M
1990/11/27,1.3393,1.3661,1.3125,1.3393,41.15M
1990/11/28,1.3125,1.375,1.3125,1.3125,43.73M
1990/11/29,1.3125,1.3214,1.2946,1.3125,31.68M
1990/11/30,1.3125,1.3304,1.2946,1.3125,30.38M
1990/12/3,1.3616,1.3661,1.3214,1.3616,41.35M
1990/12/4,1.375,1.3839,1.3393,1.375,38.04M
1990/12/5,1.433,1.4375,1.3527,1.433,54.60M
1990/12/6,1.4732,1.4911,1.4464,1.4732,133M
1990/12/7,1.5179,1.5268,1.4643,1.5179,82.42M
1990/12/10,1.4911,1.5179,1.4821,1.4911,62.65M
1990/12/11,1.4286,1.4821,1.4286,1.4286,86.97M
1990/12/12,1.4152,1.4286,1.3929,1.4152,60.59M
1990/12/13,1.4554,1.4643,1.4107,1.4554,40.18M
1990/12/14,1.4241,1.4464,1.4107,1.4241,21.77M
1990/12/17,1.433,1.4464,1.3929,1.433,32.78M
1990/12/18,1.5089,1.5179,1.4554,1.5089,55.25M
1990/12/19,1.4955,1.5179,1.4687,1.4955,35.17M
1990/12/20,1.5714,1.5893,1.4732,1.5714,100M
1990/12/21,1.6071,1.6161,1.5536,1.6071,86.53M
1990/12/24,1.5714,1.6071,1.5714,1.5714,14.68M
1990/12/26,1.5625,1.5804,1.5357,1.5625,25.77M
1990/12/27,1.5536,1.5714,1.5446,1.5536,24.41M
1990/12/28,1.5357,1.5536,1.5268,1.5357,15.98M
1990/12/31,1.5357,1.5446,1.5268,1.5357,11.07M
1991/1/2,1.5536,1.5714,1.5,1.5536,38.75M
1991/1/3,1.5357,1.5804,1.5357,1.5357,37.55M
1991/1/4,1.5446,1.5804,1.5357,1.5446,35.38M
1991/1/7,1.5446,1.6161,1.5357,1.5446,77.70M
1991/1/8,1.5446,1.567,1.5179,1.5446,54.67M
1991/1/9,1.6161,1.6429,1.5625,1.6161,117M
1991/1/10,1.683,1.6875,1.6339,1.683,109M
1991/1/11,1.6786,1.6875,1.6429,1.6786,76.91M
1991/1/14,1.6518,1.6696,1.6429,1.6518,52.71M
1991/1/15,1.6696,1.6696,1.6429,1.6696,48.01M
1991/1/16,1.7768,1.7857,1.6696,1.7768,97.69M
1991/1/17,1.8304,1.8839,1.75,1.8304,148M
1991/1/18,1.7946,1.8125,1.7321,1.7946,236M
1991/1/21,1.8125,1.8393,1.7768,1.8125,81.08M
1991/1/22,1.8304,1.875,1.8036,1.8304,107M
1991/1/23,1.8482,1.8661,1.8214,1.8482,61.07M
1991/1/24,1.8616,1.8839,1.8393,1.8616,58.48M
1991/1/25,1.9107,1.9152,1.8571,1.9107,55.95M
1991/1/28,1.9464,1.9732,1.9018,1.9464,68.37M
1991/1/29,1.9196,1.9464,1.8661,1.9196,53.89M
1991/1/30,1.9821,1.9911,1.9018,1.9821,84.28M
1991/1/31,1.9821,2,1.9554,1.9821,60.65M
1991/2/1,1.9911,2.067,1.9821,1.9911,111M
1991/2/4,1.9732,2,1.9643,1.9732,66.96M
1991/2/5,2.0625,2.0714,1.9554,2.0625,89.03M
1991/2/6,2.0312,2.0804,2.0179,2.0312,55.64M
1991/2/7,2.0625,2.0982,1.9911,2.0625,130M
1991/2/8,2.1429,2.1518,2.0536,2.1429,78.39M
1991/2/11,2.192,2.1964,2.1339,2.192,80.76M
1991/2/12,2.1429,2.1875,2.1205,2.1429,56.19M
1991/2/13,2.1429,2.1518,2.0714,2.1429,63.89M
1991/2/14,2.0402,2.1429,2.0268,2.0402,94.42M
1991/2/15,2.058,2.0893,2.0446,2.058,91.40M
1991/2/19,2.1429,2.1518,2.0491,2.1429,56.56M
1991/2/20,2.1786,2.2054,2.1161,2.1786,53.41M
1991/2/21,2.1071,2.2232,2.0982,2.1071,47.72M
1991/2/22,2.1339,2.2054,2.0893,2.1339,58.14M
1991/2/25,2.0714,2.1607,2.0536,2.0714,89.82M
1991/2/26,2.0804,2.0982,2.0179,2.0804,62.50M
1991/2/27,2.0804,2.0893,2.0536,2.0804,43.59M
1991/2/28,2.0446,2.0893,2.0089,2.0446,56.84M
1991/3/1,2.0625,2.1071,2.0357,2.0625,31.53M
1991/3/4,2.0848,2.0982,2.0357,2.0848,22.09M
1991/3/5,2.2321,2.25,2.1071,2.2321,110M
1991/3/6,2.25,2.3437,2.2455,2.25,131M
1991/3/7,2.4018,2.4107,2.2589,2.4018,80.44M
1991/3/8,2.3214,2.4375,2.3214,2.3214,80.55M
1991/3/11,2.2679,2.3125,2.2232,2.2679,43.84M
1991/3/12,2.2455,2.2768,2.2321,2.2455,58.42M
1991/3/13,2.3661,2.375,2.2411,2.3661,43.64M
1991/3/14,2.3304,2.4107,2.3036,2.3304,56.77M
1991/3/15,2.3661,2.375,2.3304,2.3661,51.21M
1991/3/18,2.4196,2.4375,2.3482,2.4196,53.50M
1991/3/19,2.4821,2.5089,2.3482,2.4821,106M
1991/3/20,2.4196,2.4821,2.3884,2.4196,90.43M
1991/3/21,2.3125,2.4554,2.2768,2.3125,74.20M
1991/3/22,2.2589,2.3125,2.2232,2.2589,84.53M
1991/3/25,2.3036,2.3214,2.2589,2.3036,33.96M
1991/3/26,2.5,2.5089,2.3125,2.5,83.41M
1991/3/27,2.4732,2.5089,2.4464,2.4732,47.56M
1991/3/28,2.4286,2.5,2.4196,2.4286,19.68M
1991/4/1,2.4464,2.4821,2.4107,2.4464,29.48M
1991/4/2,2.5982,2.5982,2.4464,2.5982,73.23M
1991/4/3,2.5,2.5982,2.5,2.5,60.03M
1991/4/4,2.5536,2.5714,2.4821,2.5536,42.11M
1991/4/5,2.4777,2.5625,2.4554,2.4777,38.85M
1991/4/8,2.5,2.5,2.4554,2.5,18.12M
1991/4/9,2.4554,2.5,2.4375,2.4554,29.86M
1991/4/10,2.3884,2.4732,2.3839,2.3884,54.10M
1991/4/11,2.5357,2.5491,2.4107,2.5357,88.90M
1991/4/12,2.5625,2.6161,2.4911,2.5625,91.93M
1991/4/15,2.2232,2.3036,2.1429,2.2232,425M
1991/4/16,2.2946,2.3036,2.2321,2.2946,155M
1991/4/17,2.2589,2.3214,2.2143,2.2589,79.78M
1991/4/18,2.1786,2.25,2.1696,2.1786,61.84M
1991/4/19,2.1295,2.1964,2.125,2.1295,71.83M
1991/4/22,2.1964,2.2143,2.0982,2.1964,64.25M
1991/4/23,2.1964,2.25,2.1518,2.1964,59.32M
1991/4/24,2.1696,2.2143,2.1607,2.1696,26.36M
1991/4/25,2.0893,2.1339,2.0893,2.0893,78.85M
1991/4/26,2.0937,2.1071,2.0625,2.0937,31.26M
1991/4/29,2.0804,2.1518,2.0804,2.0804,51.68M
1991/4/30,1.9643,2.0804,1.9286,1.9643,178M
1991/5/1,1.6875,1.75,1.6786,1.6875,467M
1991/5/2,1.75,1.7768,1.6964,1.75,203M
1991/5/3,1.75,1.7679,1.7232,1.75,60.93M
1991/5/6,1.7946,1.8036,1.7232,1.7946,53.08M
1991/5/7,1.808,1.8304,1.8036,1.808,67.62M
1991/5/8,1.7768,1.8125,1.7589,1.7768,44.20M
1991/5/9,1.8125,1.8393,1.7768,1.8125,59.55M
1991/5/10,1.8304,1.9018,1.8125,1.8304,60.43M
1991/5/13,1.8839,1.9107,1.8393,1.8839,61.24M
1991/5/14,1.9107,1.9196,1.875,1.9107,54.24M
1991/5/15,1.8036,1.8571,1.75,1.8036,130M
1991/5/16,1.75,1.8304,1.7321,1.75,95.53M
1991/5/17,1.6786,1.7411,1.6607,1.6786,118M
1991/5/20,1.5804,1.6964,1.5714,1.5804,65.54M
1991/5/21,1.6161,1.6607,1.5982,1.6161,87.45M
1991/5/22,1.6518,1.6607,1.625,1.6518,56.82M
1991/5/23,1.6116,1.6696,1.5982,1.6116,52.16M
1991/5/24,1.6384,1.6429,1.6071,1.6384,24.28M
1991/5/28,1.6429,1.6518,1.6161,1.6429,42.86M
1991/5/29,1.6786,1.7054,1.6384,1.6786,96.00M
1991/5/30,1.7009,1.7054,1.6607,1.7009,39.59M
1991/5/31,1.6786,1.7054,1.6518,1.6786,54.47M
1991/6/3,1.7589,1.7679,1.6696,1.7589,55.02M
1991/6/4,1.7545,1.7679,1.7321,1.7545,46.07M
1991/6/5,1.7143,1.7589,1.7054,1.7143,33.32M
1991/6/6,1.6652,1.7232,1.6607,1.6652,42.13M
1991/6/7,1.6473,1.6786,1.6295,1.6473,38.19M
1991/6/10,1.6429,1.683,1.6339,1.6429,41.86M
1991/6/11,1.5937,1.625,1.5804,1.5937,47.14M
1991/6/12,1.5134,1.5982,1.4732,1.5134,109M
1991/6/13,1.5045,1.5357,1.4911,1.5045,52.84M
1991/6/14,1.4687,1.5268,1.4554,1.4687,56.32M
1991/6/17,1.5,1.5089,1.4643,1.5,41.65M
1991/6/18,1.5045,1.5446,1.4821,1.5045,61.17M
1991/6/19,1.4911,1.5089,1.4732,1.4911,44.74M
1991/6/20,1.5,1.5,1.4554,1.5,36.01M
1991/6/21,1.5,1.5179,1.4911,1.5,51.50M
1991/6/24,1.4911,1.5089,1.4732,1.4911,52.00M
1991/6/25,1.5134,1.5357,1.4911,1.5134,56.98M
1991/6/26,1.5357,1.5536,1.5089,1.5357,62.61M
1991/6/27,1.5179,1.5268,1.4911,1.5179,37.80M
1991/6/28,1.4821,1.5179,1.4375,1.4821,56.66M
1991/7/1,1.5179,1.5357,1.4911,1.5179,48.71M
1991/7/2,1.5089,1.5268,1.4911,1.5089,30.04M
1991/7/3,1.5402,1.5536,1.4911,1.5402,76.19M
1991/7/5,1.6295,1.6429,1.5268,1.6295,82.89M
1991/7/8,1.6696,1.6875,1.6071,1.6696,76.77M
1991/7/9,1.6741,1.7232,1.6607,1.6741,56.61M
1991/7/10,1.6875,1.7232,1.6696,1.6875,39.14M
1991/7/11,1.6696,1.6875,1.6429,1.6696,36.48M
1991/7/12,1.6696,1.6875,1.6518,1.6696,33.19M
1991/7/15,1.625,1.6696,1.625,1.625,34.50M
1991/7/16,1.5625,1.6339,1.5536,1.5625,55.75M
1991/7/17,1.5179,1.5893,1.5089,1.5179,52.23M
1991/7/18,1.6027,1.6116,1.5357,1.6027,99.58M
1991/7/19,1.6429,1.6518,1.6071,1.6429,32.10M
1991/7/22,1.6429,1.6518,1.625,1.6429,27.17M
1991/7/23,1.6071,1.6607,1.5893,1.6071,33.26M
1991/7/24,1.6071,1.6339,1.5893,1.6071,32.86M
1991/7/25,1.6161,1.6339,1.6071,1.6161,16.45M
1991/7/26,1.6027,1.6339,1.5982,1.6027,18.56M
1991/7/29,1.625,1.625,1.5893,1.625,13.33M
1991/7/30,1.6607,1.6696,1.625,1.6607,22.97M
1991/7/31,1.6518,1.6741,1.6071,1.6518,25.70M
1991/8/1,1.7545,1.7589,1.6339,1.7545,112M
1991/8/2,1.7857,1.7946,1.75,1.7857,68.25M
1991/8/5,1.7321,1.7768,1.7232,1.7321,25.19M
1991/8/6,1.7679,1.7946,1.7054,1.7679,55.11M
1991/8/7,1.7991,1.8214,1.7634,1.7991,52.90M
1991/8/8,1.8036,1.8482,1.7857,1.8036,47.36M
1991/8/9,1.8125,1.8214,1.7768,1.8125,38.60M
1991/8/12,1.8482,1.8661,1.8036,1.8482,35.63M
1991/8/13,1.9107,1.9286,1.8571,1.9107,71.65M
1991/8/14,1.9598,1.9643,1.9241,1.9598,50.18M
1991/8/15,1.9018,1.9643,1.8929,1.9018,36.53M
1991/8/16,1.9018,1.9375,1.8661,1.9018,39.70M
1991/8/19,1.8036,1.8437,1.7321,1.8036,80.62M
1991/8/20,1.8214,1.8482,1.8036,1.8214,49.86M
1991/8/21,1.9196,1.933,1.8571,1.9196,55.84M
1991/8/22,1.9375,1.9554,1.9196,1.9375,41.41M
1991/8/23,1.8929,1.9821,1.8839,1.8929,60.11M
1991/8/26,1.8929,1.9107,1.875,1.8929,25.40M
1991/8/27,1.9286,1.9286,1.8839,1.9286,25.09M
1991/8/28,1.9018,1.9375,1.8973,1.9018,26.90M
1991/8/29,1.8929,1.9241,1.875,1.8929,28.34M
1991/8/30,1.8929,1.9018,1.8661,1.8929,16.53M
1991/9/3,1.875,1.9018,1.8571,1.875,17.09M
1991/9/4,1.8393,1.8839,1.8348,1.8393,29.95M
1991/9/5,1.8214,1.8482,1.8125,1.8214,19.47M
1991/9/6,1.8393,1.8482,1.8036,1.8393,19.82M
1991/9/9,1.9018,1.9107,1.8393,1.9018,31.62M
1991/9/10,1.7902,1.9062,1.7768,1.7902,45.71M
1991/9/11,1.8036,1.8214,1.7679,1.8036,44.50M
1991/9/12,1.808,1.8304,1.7768,1.808,29.80M
1991/9/13,1.7366,1.7946,1.7321,1.7366,41.68M
1991/9/16,1.6875,1.7589,1.6607,1.6875,51.44M
1991/9/17,1.75,1.75,1.6696,1.75,33.85M
1991/9/18,1.7902,1.8036,1.7321,1.7902,30.34M
1991/9/19,1.7768,1.8036,1.7679,1.7768,44.58M
1991/9/20,1.808,1.8214,1.7679,1.808,47.04M
1991/9/23,1.7679,1.8125,1.7589,1.7679,21.92M
1991/9/24,1.7946,1.7991,1.7232,1.7946,26.65M
1991/9/25,1.8036,1.8036,1.7589,1.8036,13.62M
1991/9/26,1.7857,1.7946,1.75,1.7857,17.81M
1991/9/27,1.75,1.8125,1.7411,1.75,15.70M
1991/9/30,1.7679,1.7768,1.75,1.7679,15.80M
1991/10/1,1.8125,1.8304,1.75,1.8125,32.84M
